,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_executor_to_launch_method,util_u_launch_method_to_executor,util_u_total,util_u_unschedule
rp.session.one.george.017624.0006,6.165299892425537,51.85890007019043,731.8817000389099,16.657999992370605,0.003099918365478516,0.1054999828338623,1522783022.2095,722.6470999717712,0.019999980926513672,1.943300008773804,0.1054999828338623,0.09379982948303224,0.38919997215271,exp-mpi-exec,140,140,1,1,1,128,128,0,rp.session.one.george.017624.0006,11.98200011253357,0,0,0,4.407799959182738,750.7859001159668,732.9678001403809,0.6583981513977051,1.943700075149536,0,0.3451001644134521,0,2.5123000144958496,0,0,722.6496000289917,0
rp.session.one.george.017624.0003,9.067100048065186,45.20270013809204,1527.5721998214722,15.077899932861328,0.003200054168701172,0.0996999740600586,1522778664.9092,1444.055999994278,0.020400047302246094,1.1758995056152344,1444.0715000629425,0.09780001640319824,0.38269996643066406,exp-mpi-exec,40,40,1,1,1,128,80,48,rp.session.one.george.017624.0003,13.913899898529053,0,0,0,0.0,0.0,0.0,0.5449001789093018,1.1787996292114258,0,0.1995999813079834,0,4.04040002822876,0,0,1444.06049990654,0
